EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
GVS-TAX21E-HW,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages & 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, AC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $4,090.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
GVS-TAX21EA,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages & 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, AC power, 24 1/10/25G & 4 40/100G ports enabled."," $22,325.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
GVS-TAX21EB,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages + 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, AC power, 12 1/10/25G + 2 40/100G ports enabled. Must also add CLS-TAX20E Adv Features License (CLS-TAX20E)."," $14,245.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
GVS-TAX22,"GigaVUE-TA25 node, 8 40G/100G QSFP28 cages + 48 10G/25G SFP28 cages, 2 power supplies, 4 fan trays, DC power, all ports enabled.  (EOS Jul 7, 2025)"," $39,730.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX22E,TRUE
GVS-TAX22-HW,"GigaVUE-TA25 node, 8 40G/100G QSFP28 cages + 48 1G/10G/25G SFP28 cages, 2 power supplies, 4 fan trays, DC power, all ports enabled. Hardware only. Must pair with appropriate GigaVUE-OS Software License.  (EOS Jul 7, 2025)"," $4,885.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX22E-HW,TRUE
GVS-TAX22-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA25; all ports enabled (GVS-TAX22-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2023)",  ," $1,205.00 ",,Taps and Aggregators,GigaVUE-TA25,United States,,2/28/2023,,GVS-TAX20-SW-TM,TRUE
GVS-TAX22A,"GigaVUE-TA25 node, 8 40G/100G QSFP28 cages + 48 10G/25G SFP28 cages, 2 power supplies, 4 fan trays, DC power, 24 10G/25G ports enabled.  (EOS Jul 7, 2025)"," $24,040.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX22EA,TRUE
GVS-TAX22A-HW,"GigaVUE-TA25 node, 8 40G/100G QSFP28 cages + 48 1G/10G/25G SFP28 cages, 2 power supplies, 4 fan trays, DC power, 24 10G/25G ports enabled. Hardware only. Must pair with appropriate GigaVUE-OS Software License.  (EOS Jul 7, 2025)"," $4,885.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX22E-HW,TRUE
GVS-TAX22A-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA25; 24  1/10/25G ports enabled (GVS-TAX22A-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2023)",  , $685.00 ,,Taps and Aggregators,GigaVUE-TA25,United States,,2/28/2023,,GVS-TAX20A-SW-TM,TRUE
GVS-TAX22E,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages & 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, DC power, 48 1/10/25G & 8 40/100G ports enabled."," $39,730.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
GVS-TAX22E-HW,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages & 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, DC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $4,885.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
GVS-TAX22EA,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages & 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, DC power, 24 1/10/25G & 4 40/100G ports enabled."," $24,040.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
GVS-TAX22EB,"GigaVUE-TA25E node, 8 40/100G QSFP28 cages + 48 1/10/25G SFP28 cages, 2 power supplies, 6 fan trays, DC power, 12 1G/10G/25G + 2 40/100G ports enabled. Must also add CLS-TAX20E Adv Features License (CLS-TAX20E)."," $15,100.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
IBP-TAC20,Perpetual Inline Bypass License for GigaVUE-TA200 (GVS-TAC[21/22]). Software support at desired level must be purchased separately.," $25,465.00 ",  ,,Taps and Aggregators,GigaVUE-TA200,United States,,,,,TRUE
IBP-TAC20-SW-TM,Monthly Inline Bypass term license for GigaVUE-TA200 (GVS-TAC[21/22]). Includes Bundled Elite-Plus Software Support.,  , $975.00 ,,Taps and Aggregators,GigaVUE-TA200,United States,,,,,TRUE
IBP-TAC20E,Perpetual Inline Bypass License for GigaVUE-TA200E (GVS-TAC[21E/22E]). Software support at desired level must be purchased separately.," $25,465.00 ",  ,,Taps and Aggregators,GigaVUE-TA200E,United States,,,,,TRUE
